title,brief,time,video_url,length,image,play_url,focus_date,id,guid,mode,place,longitude,latitude
《秘境之眼》 猞猁 20220627,猞猁，国家二级重点保护野生动物，2016年《中国脊椎动物红色名录》濒危物种。,2022-06-27 19:05:49,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2022/06/27/18338634f72043bfa2bd28f9d66e10c0_h2642000000nero_aac16.mp4,00:02:00,https://p4.img.cctvpic.com/fmspic/2022/06/27/18338634f72043bfa2bd28f9d66e10c0-1.jpg,https://tv.cctv.com/2022/06/27/VIDEPScM071wdUjrY31SOoHw220627.shtml,1.65633E+12,VIDEPScM071wdUjrY31SOoHw220627,18338634f72043bfa2bd28f9d66e10c0,1,甘肃安西极旱荒漠国家级自然保护区,东经95°50’49”-96°48’34”,北纬39°49’39”-40°34’34”
《秘境之眼》 鹅喉羚/蒙古野驴/狼 20220626,新疆卡拉麦里山有蹄类野生动物自然保护区作为我国难得的“观兽胜地”，很多珍稀野生动物经常游走于这片荒漠地带。,2022-06-26 20:12:39,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2022/06/26/008876f62f584adeb93dc4793b27fa2e_h2642000000nero_aac16.mp4,00:02:00,https://p4.img.cctvpic.com/fmspic/2022/06/26/008876f62f584adeb93dc4793b27fa2e-1.jpg,https://tv.cctv.com/2022/06/26/VIDECJycQgMZhIt03OMduCmI220626.shtml,1.65625E+12,VIDECJycQgMZhIt03OMduCmI220626,008876f62f584adeb93dc4793b27fa2e,1,新疆卡拉麦里山有蹄类野生动物自然保护区,东经88°30’-90°03’,北纬44°40’-46°00’
《秘境之眼》 红腿长吻松鼠 20220625,红腿长吻松鼠，国家保护的有重要生态、科学、社会价值的陆生野生动物。,2022-06-25 18:52:00,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2022/06/25/4d3163adc0864cceb9e09aec1cd638e6_h2642000000nero_aac16.mp4,00:01:59,https://p2.img.cctvpic.com/fmspic/2022/06/25/4d3163adc0864cceb9e09aec1cd638e6-1.jpg,https://tv.cctv.com/2022/06/25/VIDEvSVI6c5JfKV44CHxucQF220625.shtml,1.65616E+12,VIDEvSVI6c5JfKV44CHxucQF220625,4d3163adc0864cceb9e09aec1cd638e6,1,南山国家公园体制试点区金童山片区,东经110°05’18”-110°33’36”,北纬26°06’03”-26°20’06”
《秘境之眼》 毛冠鹿 20220624,毛冠鹿，国家二级重点保护野生动物，2016年《中国脊椎动物红色名录》易危物种。,2022-06-24 18:52:00,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2022/06/24/cc05c1144e474064ae4c5fc4118a8d34_h2642000000nero_aac16.mp4,00:02:00,https://p1.img.cctvpic.com/fmspic/2022/06/24/cc05c1144e474064ae4c5fc4118a8d34-1.jpg,https://tv.cctv.com/2022/06/24/VIDEAiEE9Bk2CIeLD2Lw4Xua220624.shtml,1.65607E+12,VIDEAiEE9Bk2CIeLD2Lw4Xua220624,cc05c1144e474064ae4c5fc4118a8d34,1,湖北大老岭国家级自然保护区,东经110°52’47”-111°00’21”,北纬30°00’13”-31°04’07”
《秘境之眼》 黄喉貂 20220623,黄喉貂，国家二级重点保护野生动物。,2022-06-23 18:52:01,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2022/06/23/226eed919a884bb18def7fc1e4f067ab_h2642000000nero_aac16.mp4,00:02:00,https://p5.img.cctvpic.com/fmspic/2022/06/23/226eed919a884bb18def7fc1e4f067ab-1.jpg,https://tv.cctv.com/2022/06/23/VIDE4AKFi6V2gC73z1T2fNfu220623.shtml,1.65598E+12,VIDE4AKFi6V2gC73z1T2fNfu220623,226eed919a884bb18def7fc1e4f067ab,1,神农架国家公园体制试点区,东经109°56’3.347”-110°36’26.779”,北纬31°21’24.223”-31°36’27.317”
《秘境之眼》 北山羊 20220622,北山羊，国家二级重点保护野生动物。,2022-06-22 18:53:00,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2022/06/22/a1ab57e19f6745109b651b4a2ef0823a_h2642000000nero_aac16.mp4,00:02:00,https://p2.img.cctvpic.com/fmspic/2022/06/22/a1ab57e19f6745109b651b4a2ef0823a-1.jpg,https://tv.cctv.com/2022/06/22/VIDEK3XaKY5TrMBSKwDz8pCM220622.shtml,1.6559E+12,VIDEK3XaKY5TrMBSKwDz8pCM220622,a1ab57e19f6745109b651b4a2ef0823a,1,甘肃安西极旱荒漠国家级自然保护区,东经95°50’49”-96°48’34”,北纬39°49’39”-40°34’34”
《秘境之眼》 豪猪 20220621,豪猪，国家保护的有重要生态、科学、社会价值的陆生野生动物。,2022-06-21 20:12:39,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2022/06/21/9f4b0c7041c9460e8a290cd1708c09dc_h2642000000nero_aac16.mp4,00:02:00,https://p2.img.cctvpic.com/fmspic/2022/06/21/9f4b0c7041c9460e8a290cd1708c09dc-1.jpg,https://tv.cctv.com/2022/06/21/VIDEb97aDYP1c9uB0ieFjfKi220621.shtml,1.65581E+12,VIDEb97aDYP1c9uB0ieFjfKi220621,9f4b0c7041c9460e8a290cd1708c09dc,1,神农架国家公园体制试点区,东经109°56’3.347”-110°36’26.779”,北纬31°21’24.223”-31°36’27.317”
《秘境之眼》 驼鹿 20220620,驼鹿，国家一级重点保护野生动物，2016年《中国脊椎动物红色名录》极危物种。,2022-06-20 20:05:27,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2022/06/20/aee97c56254a4e33867dea00b57adc08_h2642000000nero_aac16.mp4,00:02:00,https://p5.img.cctvpic.com/fmspic/2022/06/20/aee97c56254a4e33867dea00b57adc08-1.jpg,https://tv.cctv.com/2022/06/20/VIDErATpWG0xB0BKSKwhMF0s220620.shtml,1.65573E+12,VIDErATpWG0xB0BKSKwhMF0s220620,aee97c56254a4e33867dea00b57adc08,1,黑龙江砍都河国家湿地公园,东经124°50’05”-125°08’05”,北纬51°03’43”-51°12’16”
《秘境之眼》 中华斑羚/黄喉貂/豪猪/花面狸/猪獾/野猪 20220619,在神农架国家公园体制试点区内，林地中出现的一个大水坑吸引着动物们前来“造访”。,2022-06-19 18:52:00,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2022/06/19/70baa73bfcd54d65b2d0cd10fd4adc5b_h2642000000nero_aac16.mp4,00:01:59,https://p4.img.cctvpic.com/fmspic/2022/06/19/70baa73bfcd54d65b2d0cd10fd4adc5b-1.jpg,https://tv.cctv.com/2022/06/19/VIDEMgRSmHESNe8lm5HRRIk6220619.shtml,1.65564E+12,VIDEMgRSmHESNe8lm5HRRIk6220619,70baa73bfcd54d65b2d0cd10fd4adc5b,1,神农架国家公园体制试点区,东经109°56’3.347”-110°36’26.779”,北纬31°21’24.223”-31°36’27.317”
《秘境之眼》 北山羊 20220618,北山羊，国家二级重点保护野生动物。,2022-06-18 18:52:00,https://vod.cntv.myhwcdn.cn/flash/mp4video63/TMS/2022/06/18/db2e3d823eef428199c69914ceaf4561_h2642000000nero_aac16.mp4,00:02:00,https://p4.img.cctvpic.com/fmspic/2022/06/18/db2e3d823eef428199c69914ceaf4561-1.jpg,https://tv.cctv.com/2022/06/18/VIDESMZc20y4cuLQgtfTeDzu220618.shtml,1.65555E+12,VIDESMZc20y4cuLQgtfTeDzu220618,db2e3d823eef428199c69914ceaf4561,1,甘肃安西极旱荒漠国家级自然保护区,东经95°50’49”-96°48’34”,北纬39°49’39”-40°34’34”
